,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
29,2015,1,Aguascalientes,1001,Aguascalientes,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,2015,1,Aguascalientes,1002,Asientos,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
225,2015,1,Aguascalientes,1003,Calvillo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
323,2015,1,Aguascalientes,1004,Cosío,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
421,2015,1,Aguascalientes,1005,Jesús María,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
519,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
617,2015,1,Aguascalientes,1007,Rincón de Romos,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
715,2015,1,Aguascalientes,1008,San José de Gracia,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
813,2015,1,Aguascalientes,1009,Tepezalá,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
911,2015,1,Aguascalientes,1010,El Llano,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1009,2015,1,Aguascalientes,1011,San Francisco de los Romo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1107,2015,2,Baja California,2001,Ensenada,Tráfico de menores,Tráfico de menores,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1205,2015,2,Baja California,2002,Mexicali,Tráfico de menores,Tráfico de menores,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1303,2015,2,Baja California,2003,Tecate,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
1401,2015,2,Baja California,2004,Tijuana,Tráfico de menores,Tráfico de menores,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1499,2015,2,Baja California,2005,Playas de Rosarito,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1597,2015,3,Baja California Sur,3001,Comondú,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695,2015,3,Baja California Sur,3002,Mulegé,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1793,2015,3,Baja California Sur,3003,La Paz,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1891,2015,3,Baja California Sur,3008,Los Cabos,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1989,2015,3,Baja California Sur,3009,Loreto,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2087,2015,4,Campeche,4001,Calkiní,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2185,2015,4,Campeche,4002,Campeche,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2283,2015,4,Campeche,4003,Carmen,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2381,2015,4,Campeche,4004,Champotón,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2479,2015,4,Campeche,4005,Hecelchakán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2577,2015,4,Campeche,4006,Hopelchén,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2675,2015,4,Campeche,4007,Palizada,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2773,2015,4,Campeche,4008,Tenabo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2871,2015,4,Campeche,4009,Escárcega,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2969,2015,4,Campeche,4010,Calakmul,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3067,2015,4,Campeche,4011,Candelaria,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3165,2015,5,Coahuila de Zaragoza,5001,Abasolo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3263,2015,5,Coahuila de Zaragoza,5002,Acuña,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3361,2015,5,Coahuila de Zaragoza,5003,Allende,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3459,2015,5,Coahuila de Zaragoza,5004,Arteaga,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3557,2015,5,Coahuila de Zaragoza,5005,Candela,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3655,2015,5,Coahuila de Zaragoza,5006,Castaños,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3753,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3851,2015,5,Coahuila de Zaragoza,5008,Escobedo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3949,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4047,2015,5,Coahuila de Zaragoza,5010,Frontera,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4145,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4243,2015,5,Coahuila de Zaragoza,5012,Guerrero,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4341,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4439,2015,5,Coahuila de Zaragoza,5014,Jiménez,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4537,2015,5,Coahuila de Zaragoza,5015,Juárez,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4635,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4733,2015,5,Coahuila de Zaragoza,5017,Matamoros,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4831,2015,5,Coahuila de Zaragoza,5018,Monclova,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4929,2015,5,Coahuila de Zaragoza,5019,Morelos,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5027,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5125,2015,5,Coahuila de Zaragoza,5021,Nadadores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5223,2015,5,Coahuila de Zaragoza,5022,Nava,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5321,2015,5,Coahuila de Zaragoza,5023,Ocampo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5419,2015,5,Coahuila de Zaragoza,5024,Parras,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5517,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5615,2015,5,Coahuila de Zaragoza,5026,Progreso,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5713,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5811,2015,5,Coahuila de Zaragoza,5028,Sabinas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5909,2015,5,Coahuila de Zaragoza,5029,Sacramento,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6007,2015,5,Coahuila de Zaragoza,5030,Saltillo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6105,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6203,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6301,2015,5,Coahuila de Zaragoza,5033,San Pedro,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6399,2015,5,Coahuila de Zaragoza,5034,Sierra Mojada,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6497,2015,5,Coahuila de Zaragoza,5035,Torreón,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6595,2015,5,Coahuila de Zaragoza,5036,Viesca,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6693,2015,5,Coahuila de Zaragoza,5037,Villa Unión,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6791,2015,5,Coahuila de Zaragoza,5038,Zaragoza,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6889,2015,6,Colima,6001,Armería,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6987,2015,6,Colima,6002,Colima,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7085,2015,6,Colima,6003,Comala,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7183,2015,6,Colima,6004,Coquimatlán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7281,2015,6,Colima,6005,Cuauhtémoc,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7379,2015,6,Colima,6006,Ixtlahuacán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7477,2015,6,Colima,6007,Manzanillo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7575,2015,6,Colima,6008,Minatitlán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7673,2015,6,Colima,6009,Tecomán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7771,2015,6,Colima,6010,Villa de Álvarez,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7869,2015,7,Chiapas,7001,Acacoyagua,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7967,2015,7,Chiapas,7002,Acala,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8065,2015,7,Chiapas,7003,Acapetahua,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8163,2015,7,Chiapas,7004,Altamirano,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8261,2015,7,Chiapas,7005,Amatán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8359,2015,7,Chiapas,7006,Amatenango de la Frontera,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8457,2015,7,Chiapas,7007,Amatenango del Valle,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8555,2015,7,Chiapas,7008,Angel Albino Corzo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8653,2015,7,Chiapas,7009,Arriaga,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8751,2015,7,Chiapas,7010,Bejucal de Ocampo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8849,2015,7,Chiapas,7011,Bella Vista,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8947,2015,7,Chiapas,7012,Berriozábal,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9045,2015,7,Chiapas,7013,Bochil,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9143,2015,7,Chiapas,7014,El Bosque,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9241,2015,7,Chiapas,7015,Cacahoatán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9339,2015,7,Chiapas,7016,Catazajá,Tráfico de menores,Tráfico de menores,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2015,7,Chiapas,7017,Cintalapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9535,2015,7,Chiapas,7018,Coapilla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9633,2015,7,Chiapas,7019,Comitán de Domínguez,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9731,2015,7,Chiapas,7020,La Concordia,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9829,2015,7,Chiapas,7021,Copainalá,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9927,2015,7,Chiapas,7022,Chalchihuitán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10025,2015,7,Chiapas,7023,Chamula,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10123,2015,7,Chiapas,7024,Chanal,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10221,2015,7,Chiapas,7025,Chapultenango,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10319,2015,7,Chiapas,7026,Chenalhó,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10417,2015,7,Chiapas,7027,Chiapa de Corzo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10515,2015,7,Chiapas,7028,Chiapilla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10613,2015,7,Chiapas,7029,Chicoasén,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10711,2015,7,Chiapas,7030,Chicomuselo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10809,2015,7,Chiapas,7031,Chilón,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10907,2015,7,Chiapas,7032,Escuintla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11005,2015,7,Chiapas,7033,Francisco León,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11103,2015,7,Chiapas,7034,Frontera Comalapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11201,2015,7,Chiapas,7035,Frontera Hidalgo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11299,2015,7,Chiapas,7036,La Grandeza,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11397,2015,7,Chiapas,7037,Huehuetán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11495,2015,7,Chiapas,7038,Huixtán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11593,2015,7,Chiapas,7039,Huitiupán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11691,2015,7,Chiapas,7040,Huixtla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11789,2015,7,Chiapas,7041,La Independencia,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11887,2015,7,Chiapas,7042,Ixhuatán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11985,2015,7,Chiapas,7043,Ixtacomitán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12083,2015,7,Chiapas,7044,Ixtapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12181,2015,7,Chiapas,7045,Ixtapangajoya,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12279,2015,7,Chiapas,7046,Jiquipilas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12377,2015,7,Chiapas,7047,Jitotol,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12475,2015,7,Chiapas,7048,Juárez,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12573,2015,7,Chiapas,7049,Larráinzar,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12671,2015,7,Chiapas,7050,La Libertad,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12769,2015,7,Chiapas,7051,Mapastepec,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12867,2015,7,Chiapas,7052,Las Margaritas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12965,2015,7,Chiapas,7053,Mazapa de Madero,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13063,2015,7,Chiapas,7054,Mazatán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13161,2015,7,Chiapas,7055,Metapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13259,2015,7,Chiapas,7056,Mitontic,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13357,2015,7,Chiapas,7057,Motozintla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13455,2015,7,Chiapas,7058,Nicolás Ruíz,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13553,2015,7,Chiapas,7059,Ocosingo,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13651,2015,7,Chiapas,7060,Ocotepec,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13749,2015,7,Chiapas,7061,Ocozocoautla de Espinosa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13847,2015,7,Chiapas,7062,Ostuacán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13945,2015,7,Chiapas,7063,Osumacinta,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14043,2015,7,Chiapas,7064,Oxchuc,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14141,2015,7,Chiapas,7065,Palenque,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14239,2015,7,Chiapas,7066,Pantelhó,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14337,2015,7,Chiapas,7067,Pantepec,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14435,2015,7,Chiapas,7068,Pichucalco,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14533,2015,7,Chiapas,7069,Pijijiapan,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14631,2015,7,Chiapas,7070,El Porvenir,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14729,2015,7,Chiapas,7071,Villa Comaltitlán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14827,2015,7,Chiapas,7072,Pueblo Nuevo Solistahuacán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14925,2015,7,Chiapas,7073,Rayón,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15023,2015,7,Chiapas,7074,Reforma,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15121,2015,7,Chiapas,7075,Las Rosas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15219,2015,7,Chiapas,7076,Sabanilla,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15317,2015,7,Chiapas,7077,Salto de Agua,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15415,2015,7,Chiapas,7078,San Cristóbal de las Casas,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15513,2015,7,Chiapas,7079,San Fernando,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15611,2015,7,Chiapas,7080,Siltepec,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15709,2015,7,Chiapas,7081,Simojovel,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15807,2015,7,Chiapas,7082,Sitalá,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15905,2015,7,Chiapas,7083,Socoltenango,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16003,2015,7,Chiapas,7084,Solosuchiapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16101,2015,7,Chiapas,7085,Soyaló,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16199,2015,7,Chiapas,7086,Suchiapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16297,2015,7,Chiapas,7087,Suchiate,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16395,2015,7,Chiapas,7088,Sunuapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16493,2015,7,Chiapas,7089,Tapachula,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16591,2015,7,Chiapas,7090,Tapalapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16689,2015,7,Chiapas,7091,Tapilula,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16787,2015,7,Chiapas,7092,Tecpatán,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16885,2015,7,Chiapas,7093,Tenejapa,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16983,2015,7,Chiapas,7094,Teopisca,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
